Data Set 3:Time(s),Data Set 3:Potential(mV),Data Set 3:EKG(mV)
62.515000000000001,-0.0428924560546875,-0.04543276062646813
62.520000000000003,-0.011077880859375,-0.040101962104517767
62.524999999999999,-0.017486572265625,-0.033887785639713126
62.530000000000001,-0.0352630615234375,-0.028329524492932232
62.535000000000004,-0.0238189697265625,-0.025527331813391854
62.539999999999999,-0.0402984619140625,-0.025122105125868245
62.545000000000002,-0.0924072265625,-0.029366902979393598
62.550000000000004,-0.0924072265625,-0.040683330215941844
62.555,-0.0555572509765625,-0.054093398030659059
62.560000000000002,-0.0364837646484375,-0.061778815665853415
62.565000000000005,-0.014892578125,-0.060774826909964982
62.57,0.0066986083984375,-0.051814529671608558
62.575000000000003,0.0079193115234375,-0.037550206928090808
62.579999999999998,-0.014892578125,-0.023253141954813292
62.585000000000001,0.0002899169921875,-0.012926169501982332
62.590000000000003,0.0193634033203125,-0.0052290120933412478
62.594999999999999,0.0143280029296875,0.0019823274846942239
62.600000000000001,-0.00604248046875,0.0070996305468854302
62.605000000000004,0.035919189453125,0.010066800317623751
62.609999999999999,0.0434722900390625,0.014709230606823285
62.615000000000002,0.0143280029296875,0.020607085068307655
62.620000000000005,0.03973388671875,0.024865558255680625
62.625,0.0587310791015625,0.029407894141951392
62.630000000000003,0.00921630859375,0.033892215664509451
62.634999999999998,-0.011077880859375,0.032892281681365501
62.640000000000001,-0.0250396728515625,0.024578935473123779
62.645000000000003,-0.0301513671875,0.011742617751707068
62.649999999999999,-0.0606689453125,-0.0034730396759883528
62.655000000000001,-0.1292572021484375,-0.023266756009652043
62.660000000000004,-0.2511749267578125,-0.05501985351595174
62.664999999999999,-0.3489837646484375,-0.10572017712204343
62.670000000000002,-0.409942626953125,-0.17384401162689778
62.675000000000004,-0.3743896484375,-0.24646250032946562
62.68,-0.3019866943359375,-0.30408324545665105
62.685000000000002,-0.1927337646484375,-0.3303350065216929
62.690000000000005,0.00921630859375,-0.3135784845494789
62.695,0.2530517578125,-0.24384075205895897
62.700000000000003,0.3762664794921875,-0.12341714564699155
62.704999999999998,0.4029693603515625,0.023561616913264194
62.710000000000001,0.3356781005859375,0.16152250359084991
62.715000000000003,0.249237060546875,0.26062638817933953
62.719999999999999,0.2454986572265625,0.31108047221268997
62.725000000000001,0.256866455078125,0.32448965520154938
62.730000000000004,0.2213134765625,0.31644159517715026
62.734999999999999,0.1870574951171875,0.29498956741765114
62.740000000000002,0.16668701171875,0.26516335670461211
62.745000000000005,0.1679840087890625,0.23332245617576317
62.75,0.1515045166015625,0.20478592887142272
62.755000000000003,0.1019134521484375,0.17939194877221401
62.759999999999998,0.0422515869140625,0.15214140372813292
62.765000000000001,0.037139892578125,0.12097808876716351
62.770000000000003,0.052398681640625,0.09112088792780694
62.774999999999999,0.037139892578125,0.067883619683142632
62.780000000000001,0.0269927978515625,0.051018004334582173
62.785000000000004,-0.0009307861328125,0.037469922550613384
62.789999999999999,0.020660400390625,0.026005040159220418
62.795000000000002,0.0041046142578125,0.017620450651519008
62.800000000000004,-0.02252197265625,0.010538183180421375
62.805,-0.009857177734375,0.0027671213567548002
62.810000000000002,0.020660400390625,-0.0025607275517513812
62.815000000000005,0.0117340087890625,-0.0027157203337432418
62.82,0.0066986083984375,5.3918932662800744e-05
62.825000000000003,-0.017486572265625,0.0017587735404953606
62.829999999999998,-0.064483642578125,-0.0020064016151047684
62.835000000000001,-0.0670013427734375,-0.013334998194203118
62.840000000000003,-0.050445556640625,-0.027929547074646031
62.844999999999999,-0.0402984619140625,-0.039557785683336656
62.850000000000001,-0.0631866455078125,-0.046937347567169149
62.855000000000004,-0.0949249267578125,-0.053973414947576015
62.859999999999999,-0.1139984130859375,-0.064406257327301555
62.865000000000002,-0.1101837158203125,-0.077632485782195171
62.870000000000005,-0.096221923828125,-0.089675790630914728
62.875,-0.0911102294921875,-0.097215045970222291
62.880000000000003,-0.10003662109375,-0.10044404146555426
62.884999999999998,-0.1139984130859375,-0.10218921291453256
62.890000000000001,-0.097442626953125,-0.10381879745551209
62.895000000000003,-0.058074951171875,-0.10239131655280098
62.899999999999999,-0.0441131591796875,-0.094683707990417587
62.905000000000001,-0.018707275390625,-0.081033433003857486
62.910000000000004,-0.018707275390625,-0.063991208053975651
62.914999999999999,-0.041595458984375,-0.048309388751415758
62.920000000000002,-0.009857177734375,-0.036837958134148308
62.925000000000004,-0.00726318359375,-0.027561958576304918
62.93,0.028289794921875,-0.01773377485597458
62.935000000000002,0.0968780517578125,-0.0028835760605961103
62.940000000000005,0.1324310302734375,0.021304691194691087
62.945,0.123504638671875,0.051654696655510618
62.950000000000003,0.1400604248046875,0.081015008743122202
62.954999999999998,0.1489105224609375,0.10599477801376778
62.960000000000001,0.162872314453125,0.12643506841363081
62.965000000000003,0.1946868896484375,0.14403509771868517
62.969999999999999,0.1553192138671875,0.15875387575567954
62.975000000000001,0.142578125,0.16658729477918674
62.980000000000004,0.1450958251953125,0.16671343647674178
62.984999999999999,0.17431640625,0.16401828906088914
62.990000000000002,0.162872314453125,0.16271713075688365
62.995000000000005,0.208648681640625,0.16474552368421816
63,0.1590576171875,0.16944496784164981
63.005000000000003,0.0854339599609375,0.1687307963542011
63.009999999999998,0.07269287109375,0.15581764798571329
63.015000000000001,0.0791015625,0.13501143444420155
63.020000000000003,0.0968780517578125,0.11498620842457558
63.024999999999999,0.067657470703125,0.099628050069850566
63.030000000000001,0.0002899169921875,0.084415489496140167
63.035000000000004,0.0079193115234375,0.064870053373454764
63.039999999999999,0.0181427001953125,0.044868072922423036
63.045000000000002,0.0155487060546875,0.029508006778590078
63.050000000000004,0.0015869140625,0.01885345049035534
63.055,-0.011077880859375,0.010487096372480817
63.060000000000002,0.0015869140625,0.003561595614922218
63.065000000000005,0.0105133056640625,-0.00038129216295158634
63.07,0.005401611328125,-0.00095770510097471383
63.075000000000003,-0.0428924560546875,-0.0020598058170820293
63.079999999999998,-0.056854248046875,-0.0085527576610086795
63.085000000000001,-0.02130126953125,-0.01837480442095785
63.090000000000003,-0.011077880859375,-0.024913919275053795
63.094999999999999,-0.0250396728515625,-0.026692516405097372
63.100000000000001,-0.0161895751953125,-0.026209904053294018
63.105000000000004,-0.013671875,-0.024415650988141264
63.109999999999999,-0.03778076171875,-0.022779028821485667
63.115000000000002,-0.041595458984375,-0.023806138373012313
63.120000000000005,-0.0276336669921875,-0.026773835606337504
63.125,-0.0238189697265625,-0.028860151473108893
63.130000000000003,-0.0276336669921875,-0.02930794967111372
63.134999999999998,-0.0314483642578125,-0.029219231595928763
63.140000000000001,-0.041595458984375,-0.02987905949452517
63.145000000000003,-0.056854248046875,-0.032601377091030503
63.149999999999999,-0.0593719482421875,-0.037827791381042475
63.155000000000001,-0.0301513671875,-0.042909544898600924
63.160000000000004,-0.018707275390625,-0.04387464403248105
63.164999999999999,-0.0352630615234375,-0.040996912146363258
63.170000000000002,-0.0593719482421875,-0.038871995082068567
63.175000000000004,-0.058074951171875,-0.040437714792221802
63.18,-0.08477783203125,-0.045753989725581576
63.185000000000002,-0.0720367431640625,-0.053749938069710144
63.190000000000005,-0.041595458984375,-0.060240314500509519
63.195,-0.0301513671875,-0.06086825263377519
63.200000000000003,-0.0200042724609375,-0.055568811982775079
63.204999999999998,-0.017486572265625,-0.046751814743741016
63.210000000000001,-0.017486572265625,-0.037131420156313794
63.215000000000003,0.020660400390625,-0.02701519483808414
63.219999999999999,0.0549163818359375,-0.013421965373480924
63.225000000000001,0.03973388671875,0.0035929496394052629
63.230000000000004,0.0193634033203125,0.018390748036636581
63.234999999999999,0.0663604736328125,0.028955754391857366
63.240000000000002,0.0472869873046875,0.038005988382067597
63.245000000000005,0.0015869140625,0.042941268592346968
63.25,-0.0009307861328125,0.039729576885732407
63.255000000000003,-0.0085601806640625,0.030411272651511022
63.259999999999998,-0.02130126953125,0.018401311440919735
63.265000000000001,-0.0352630615234375,0.0051121458819978274
63.270000000000003,-0.0364837646484375,-0.0082861832822983712
63.274999999999999,-0.0301513671875,-0.019730428354585286
63.280000000000001,-0.049224853515625,-0.028453814081339054
63.285000000000004,-0.10003662109375,-0.038041047962995726
63.289999999999999,-0.1762542724609375,-0.055368056151389983
63.295000000000002,-0.2714691162109375,-0.08707286155863643
63.300000000000004,-0.3566131591796875,-0.13622721475359129
63.305,-0.3642425537109375,-0.19749323983622938
63.310000000000002,-0.3070220947265625,-0.25540276547714791
63.315000000000005,-0.2397308349609375,-0.29294396537503853
63.32,-0.111480712890625,-0.29877577430905078
63.325000000000003,0.114654541015625,-0.26256727695256971
63.329999999999998,0.2886810302734375,-0.17755567707214581
63.335000000000001,0.38519287109375,-0.053288464318518303
63.340000000000003,0.3724517822265625,0.08369937381619999
63.344999999999999,0.334381103515625,0.20318584517076044
63.350000000000001,0.2899017333984375,0.28586420425603321
63.355000000000004,0.208648681640625,0.32557503078533834
63.359999999999999,0.1489105224609375,0.32452172919619632
63.365000000000002,0.1324310302734375,0.29359425711175907
63.370000000000005,0.1476898193359375,0.25010889164277944
63.375,0.1019134521484375,0.20700748951922002
63.380000000000003,0.1006927490234375,0.16847241625736509
63.384999999999998,0.1019134521484375,0.13712582935572615
63.390000000000001,0.1019134521484375,0.11515523942111516
63.395000000000003,0.0892486572265625,0.10132211458008633
63.399999999999999,0.067657470703125,0.091879142592610805
63.405000000000001,0.052398681640625,0.083057540823964854
63.410000000000004,0.02447509765625,0.072477325612341797
63.414999999999999,0.0117340087890625,0.059116525038411832
63.420000000000002,0.0015869140625,0.043921821992196519
63.425000000000004,0.0015869140625,0.029105042481847025
63.43,0.0041046142578125,0.016856271632690122
63.435000000000002,-0.0047454833984375,0.0079547314998961761
63.440000000000005,0.013031005859375,0.002461642369470279
63.445,-0.00604248046875,1.0453273172913655e-05
63.450000000000003,-0.0085601806640625,-0.0015482542366198511
63.454999999999998,-0.0364837646484375,-0.0047807560761240209
63.460000000000001,-0.05426025390625,-0.011752503940771057
63.465000000000003,-0.0467071533203125,-0.021856631665016189
63.469999999999999,-0.0352630615234375,-0.031232064277440921
63.475000000000001,-0.0467071533203125,-0.037642718590073329
63.480000000000004,-0.049224853515625,-0.042056401135111519
63.484999999999999,-0.064483642578125,-0.046137648118184132
63.490000000000002,-0.06951904296875,-0.051058567127177046
63.495000000000005,-0.096221923828125,-0.057884755307313365
63.5,-0.0872955322265625,-0.066672566326072102
63.505000000000003,-0.0911102294921875,-0.075387787039565696
63.509999999999998,-0.10125732421875,-0.082867382557593072
63.515000000000001,-0.1216278076171875,-0.090411007102648266
63.520000000000003,-0.111480712890625,-0.098473572145781896
63.524999999999999,-0.0606689453125,-0.10296307702778426
63.530000000000001,-0.017486572265625,-0.097718610130438935
63.535000000000004,-0.0314483642578125,-0.082970486475694272
63.539999999999999,-0.06951904296875,-0.067322131794687379
63.545000000000002,-0.065704345703125,-0.058099221481008011
63.550000000000004,0.0015869140625,-0.052038345449159439
63.555,0.00921630859375,-0.041914522371939704
63.560000000000002,0.028289794921875,-0.026972536217272237
63.565000000000005,0.04095458984375,-0.0097221253683216526
63.57,0.060028076171875,0.0084087150555494511
63.575000000000003,0.099395751953125,0.027787068383441107
63.579999999999998,0.1590576171875,0.051467537693214119
63.585000000000001,0.16668701171875,0.080566827659768275
63.590000000000003,0.1870574951171875,0.11135750109887665
63.594999999999999,0.1870574951171875,0.13952971254994323
